IFUT (ОКЭД);Отрасль (вид деятельности);Категория риска;КСТ
95000;Ремонт компьютеров, предметов личного пользования и бытовых товаров;5;1,714
95100;Ремонт компьютеров и коммуникационного оборудования;5;1,714
95110;Ремонт компьютеров и периферийного оборудования;5;1,714
95120;Ремонт коммуникационного оборудования;5;1,714
95200;Ремонт предметов личного пользования и бытовых товаров;5;1,714
95210;Ремонт бытовой электроники;5;1,714
95220;Ремонт бытовых товаров, садового и домашнего инвентаря;5;1,714
95230;Ремонт обуви и кожаных изделий;5;1,714
95240;Ремонт мебели и предметов домашнего обихода;5;1,714
95250;Ремонт часов и ювелирных изделий;5;1,714
95290;Ремонт прочих предметов личного пользования и бытовых товаров;5;1,714
96000;Прочие услуги личного характера;5;1,714
96010;Стирка и химическая чистка текстильных и меховых изделий;5;1,714
10400;Производство растительных и животных жиров и масел;6;2,0
10410;Производство растительных и животных жиров и масел;6;2,0
10420;Производство маргарина и прочих пищевых жиров;6;2,0
10500;Производство молочной продукции;6;2,0
10510;Переработка молока и производство сыра;6;2,0
10520;Производство мороженого;6;2,0
10700;Производство хлеба и мучных изделий;6;2,0
10710;Производство хлеба, свежих кондитерских изделий, тортов и пирожных;6;2,0
10730;Производство макаронных и аналогичных мучных изделий;6;2,0
15000;Производство кожи и сопутствующих изделий;6;2,0
15100;"Дубление и обработка кожи; производство чемоданов и аналогичных изделий, сбруи; обработка и окраска меха";6;2,0
15110;"Дубление и обработка кожи; обработка и окраска меха";6;2,0
15120;Производство чемоданов, женских сумок и прочих изделий, кроме кожаных;6;2,0
19000;Производство кокса и продуктов переработки нефти;6;2,0
19100;Производство продуктов коксовых печей;6;2,0
20152;Производство азотных соединений;6;2,0
21000;Производство основных фармацевтических продуктов и препаратов;6;2,0
21100;Производство основных фармацевтических продуктов;6;2,0
21200;Производство фармацевтических препаратов;6;2,0
35112;Производство электроэнергии гидроэлектростанциями;6;2,0
49000;Сухопутный и трубопроводный транспорт;6;2,0
49100;Пассажирские и междугородние железнодорожные перевозки;6;2,0
52000;Складское хозяйство и вспомогательная транспортная деятельность;6;2,0
52100;Хранение и складирование;6;2,0
52240;Обработка грузов;6;2,0
52290;Прочие услуги по сопровождению транспортировки;6;2,0
52291;Организация перевозок железнодорожным, автомобильным, морским или воздушным транспортом;6;2,0
52292;Услуги таможенных агентов;6;2,0
52299;Прочие сопутствующие транспортировке услуги, не включённые в другие категории;6;2,0
75000;Ветеринарная деятельность;6;2,0
14300;Производство тканых и трикотажных изделий;7;2,286
14310;Производство тканых, трикотажных и чулочно-носочных изделий;7;2,286
14390;Производство прочих тканых и трикотажных изделий;7;2,286
23300;Производство строительных материалов из глины;7;2,286
23310;Производство керамических плиток и покрытий;7;2,286
06000;Добыча сырой нефти и природного газа;8;2,571
06100;Добыча сырой нефти;8;2,571
06200;Добыча природного газа;8;2,571
08930;Добыча соли;8;2,571
10830;Производство чая и кофе;8;2,571
10840;Производство пряностей и лекарственных растений;8;2,571
10850;Производство готовых пищевых продуктов;8;2,571
10890;Производство прочих не классифицированных пищевых продуктов;8;2,571
19200;Производство продуктов переработки нефти;8;2,571
20000;Производство химических продуктов;8;2,571
20100;Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах;8;2,571
20110;Производство промышленных газов;8;2,571
20520;Производство клея;8;2,571
22200;Производство изделий из пластмассы;8;2,571
22210;Производство пластмассовых плит, лент, труб и профилей;8;2,571
22220;Производство пластиковых упаковочных изделий;8;2,571
23630;Производство сухих бетонных смесей;8;2,571
23640;Производство радиационного, электромедицинского и электротерапевтического оборудования;8;2,571
26600;Производство сельскохозяйственной и лесозаготовительной техники;8;2,571
28300;Производство машин и оборудования для текстильной, швейной, меховой и кожевенной промышленности;8;2,571
28940;Производство велосипедов и инвалидных колясок/кресел;8;2,571
30920;Обеспечение электроэнергией, газом, паром и кондиционирование воздуха;8;2,571
35000;Производство, передача и распределение электроэнергии;8;2,571
35100;Производство электроэнергии;8;2,571
35110;Производство электроэнергии тепловыми электростанциями;8;2,571
35111;Производство электроэнергии другими электростанциями;8;2,571
35119;Передача электроэнергии;8;2,571
35120;Производство и распределение газообразного топлива;8;2,571
35200;Производство газа;8;2,571
35210;Распределение газообразного топлива через системы газоснабжения;8;2,571
35220;Системы передачи пара и кондиционирования воздуха;8;2,571
35300;Сбор, обработка, уничтожение и утилизация отходов;8;2,571
38000;Сбор отходов;8;2,571
38100;Сбор опасных отходов;8;2,571
38120;Восстановление материалов;8;2,571
38300;Уничтожение обломков;8;2,571
38310;Утилизация сортированных материалов;8;2,571
38320;Сортировка и переработка металлических отходов для получения вторичного сырья;8;2,571
38321;Сортировка и переработка неметаллических отходов для получения вторичного сырья;8;2,571
38322;Отделочные и строительные работы;8;2,571
43300;Штукатурные работы;8;2,571
43310;Покрытие полов и отделка стен;8;2,571
43330;Другие отделочные работы;8;2,571
43390;Производство изделий из пластмассы;8;2,571
10600;Производство мукомольной продукции, крахмала и крахмалистых продуктов;9;2,857
10610;Производство продукции мукомольно-крупяной промышленности;9;2,857
10620;Производство крахмала и крахмалистых продуктов;9;2,857
10800;Производство прочих пищевых продуктов;9;2,857
10810;Производство сахара;9;2,857
10900;Производство готовых кормов для животных;9;2,857
10910;Производство готовых кормов для животных, выращиваемых на фермах;9;2,857
10920;Производство готовых кормов для домашних животных;9;2,857
20120;Производство красок и пигментов;9;2,857
20200;Производство пестицидов и прочих агрохимических веществ;9;2,857
20300;Производство красок, лаков и подобных красильных материалов, типографских красок и мастик;9;2,857
22230;Производство пластиковых изделий для строительства;9;2,857
22290;Производство прочих пластиковых изделий;9;2,857
23000;Производство прочих неметаллических минеральных продуктов;9;2,857
32200;Производство музыкальных инструментов;9;2,857
49200;Железнодорожные грузовые перевозки;9;2,857
50000;Водный транспорт;9;2,857
50100;Морской и прибрежный пассажирский транспорт;9;2,857
50200;Морской и прибрежный грузовой транспорт;9;2,857
50300;Речной пассажирский транспорт;9;2,857
50400;Речной грузовой транспорт;9;2,857
51000;Воздушный транспорт;9;2,857
51100;Воздушные пассажирские перевозки;9;2,857
51200;Воздушные грузовые перевозки и космическая транспортная система;9;2,857
51210;Воздушные грузовые перевозки;9;2,857
51220;Космическая транспортная система;9;2,857
52200;Вспомогательная деятельность по перевозкам;9;2,857
52210;Услуги в области сухопутного транспорта;9;2,857
52220;Услуги в области водного транспорта;9;2,857
52230;Услуги в области воздушного транспорта;9;2,857
01470;Птицеводство;10;3,143
15200;Производство обуви;10;3,143
17000;Производство бумаги и бумажной продукции;10;3,143
17100;Производство массы для бумаги и целлюлозы, бумаги и картона;10;3,143
17110;Производство массы для бумаги и целлюлозы;10;3,143
17120;Производство бумаги и картона;10;3,143
17200;Производство изделий из бумаги и картона;10;3,143
17210;Производство гофрированной бумаги и картона, бумажной и картонной тары (емкостей);10;3,143
17220;Производство хозяйственной и санитарно-гигиенической бумаги;10;3,143
17230;Производство писчей бумаги;10;3,143
17240;Производство оберточной бумаги;10;3,143
17290;Производство прочих изделий из бумаги и картона;10;3,143
20160;Производство пластмассы в первичных формах;10;3,143
20170;Производство синтетического каучука в первичных формах;10;3,143
25120;Производство металлических дверей и окон;10;3,143
25290;Производство других металлических цистерн, резервуаров и контейнеров;10;3,143
25700;Производство посуды, металлических ручных инструментов и изделий из металла для общего пользования;10;3,143
25710;Производство посуды;10;3,143
25720;Производство замков, крючков и петель;10;3,143
25730;Производство инструментов;10;3,143
25900;Производство других готовых металлических изделий;10;3,143
25910;Производство металлических бочек и подобных емкостей;10;3,143
25920;Производство упаковочных материалов из легких металлов;10;3,143
25930;Производство изделий из проволоки, цепей и пружин;10;3,143
25940;Производство крепежных и резьбовых изделий;10;3,143
25990;Производство готовых металлических изделий, не включенных в другие категории;10;3,143
26200;Производство компьютеров и периферийного оборудования;10;3,143
26300;Производство коммуникационного оборудования;10;3,143
26400;Производство бытовой электроники;10;3,143
29310;Производство электрических и электронных комплектующих для автотранспортных средств;10;3,143
30000;Производство прочего транспортного оборудования;10;3,143
30100;Строительство морских судов и лодок;10;3,143
30110;Строительство судов и плавучих конструкций;10;3,143
30120;Строительство прогулочных и спортивных лодок;10;3,143
30990;Производство прочих транспортных средств и оборудования, не включенных в другие категории;10;3,143
32400;Производство игр и игрушек;10;3,143
32990;Производство прочих изделий, не включенных в другие категории;10;3,143
33000;Ремонт и монтаж машин и оборудования;10;3,143
33100;Ремонт готовых металлических изделий, машин и оборудования;10;3,143
33110;Ремонт готовых металлических изделий;10;3,143
33120;Ремонт машин и оборудования;10;3,143
33130;Ремонт электронного и оптического оборудования;10;3,143
33140;Ремонт электрического оборудования;10;3,143
33150;Ремонт и техническое обслуживание судов и лодок;10;3,143
33160;Ремонт и техническое обслуживание воздушных судов и космических аппаратов;10;3,143
43130;Бурение поисковое;10;3,143
49300;Прочий пассажирский транспорт по суше;10;3,143
49310;Городской и пригородный пассажирский транспорт по суше;10;3,143
49320;Таксомоторная деятельность;10;3,143
49390;Прочие виды пассажирских перевозок по суше, не включённые в другие категории;10;3,143
49400;Услуги по перевозке грузов и вывозу отходов автомобильным транспортом;10;3,143
49410;Перевозка грузов автомобильным транспортом;10;3,143
49420;Услуги по переезду (переезд);10;3,143
01613;Обслуживание сельскохозяйственного орошения;11;3,429
02000;Лесное хозяйство и подготовка древесины;11;3,429
02100;Лесное хозяйство и иная лесозаготовительная деятельность;11;3,429
02200;Подготовка древесины;11;3,429
02300;Сбор лесных продуктов, кроме древесины;11;3,429
03000;Рыболовство и аквакультура;11;3,429
03100;Рыболовство;11;3,429
03110;Рыболовство в морях;11;3,429
03120;Рыболовство в пресных водах;11;3,429
10000;Производство пищевых продуктов;11;3,429
10100;Переработка и консервирование мяса, производство мясных продуктов;11;3,429
10110;Переработка мяса;11;3,429
10111;Забой крупного рогатого скота, переработка и упаковка мяса;11;3,429
10112;Производство свежего, охлажденного и замороженного мяса;11;3,429
10119;Прочая деятельность по переработке мяса;11;3,429
10120;Переработка мяса домашней птицы;11;3,429
10130;Производство продуктов из мяса и мяса домашней птицы;11;3,429
10131;Производство соленого, сушеного или копченого мяса, мяса птицы и пищевых субпродуктов;11;3,429
10132;Производство колбасных изделий;11;3,429
10139;Производство прочих мясных продуктов, не включенных в другие категории;11;3,429
10200;Переработка и консервирование рыбы, ракообразных и моллюсков;11;3,429
10300;Переработка и консервирование фруктов и овощей;11;3,429
10310;Переработка и консервирование картофеля;11;3,429
10320;Производство фруктовых и овощных соков;11;3,429
10390;Другие виды переработки и консервирования фруктов и овощей;11;3,429
10860;Производство детского питания и диетических продуктов питания;11;3,429
20130;Производство прочих основных неорганических химических веществ;11;3,429
20140;Производство прочих основных органических химических веществ;11;3,429
20150;Производство удобрений и азотистых соединений;11;3,429
20151;Производство удобрений;11;3,429
20500;Производство прочих химических веществ;11;3,429
20510;Производство взрывчатых веществ;11;3,429
20590;Производство прочих химических веществ, не включенных в другие категории;11;3,429
20600;Производство синтетических волокон;11;3,429
23900;Производство абразивных изделий и прочих неметаллических минеральных продуктов, не включенных в другие категории;11;3,429
23910;Производство абразивных изделий;11;3,429
26000;Производство компьютеров, электронных и оптических изделий;11;3,429
26100;Производство электронных компонентов и плат (схем);11;3,429
26110;Производство электронных компонентов;11;3,429
26120;Производство электронных нагрузочных панелей;11;3,429
29100;Производство моторных транспортных средств;11;3,429
29200;"Производство кузовов для автотранспортных средств; производство прицепов и полуприцепов";11;3,429
30910;Производство мотоциклов;11;3,429
41000;Строительство зданий и сооружений;11;3,429
41200;Строительство жилых и нежилых зданий;11;3,429
41201;Строительство жилых зданий;11;3,429
41202;Строительство нежилых зданий;11;3,429
42000;Строительство гражданских объектов;11;3,429
42100;Строительство автомобильных дорог и железных дорог;11;3,429
42110;Строительство дорог и шоссейных дорог;11;3,429
42200;Строительство инженерных сооружений;11;3,429
42210;Строительство распределительных инженерных объектов;11;3,429
42220;Строительство распределительных объектов для электроснабжения и телекоммуникаций;11;3,429
42900;Строительство прочих инженерных сооружений;11;3,429
42910;Строительство гидротехнических сооружений;11;3,429
42990;Строительство прочих инженерных сооружений, не включенных в другие категории;11;3,429
43000;Специализированные строительные работы;11;3,429
43100;Снос существующих зданий и подготовка площадок для строительства;11;3,429
43110;Демонтаж зданий по частям и снос;11;3,429
43120;Подготовительные работы на строительных площадках;11;3,429
43200;Электротехнические, сантехнические и другие монтажные работы;11;3,429
43210;Электротехнические и монтажные работы;11;3,429
43220;Монтаж систем водоснабжения, отопления и кондиционирования воздуха;11;3,429
43290;Прочие строительные и монтажные работы;11;3,429
43291;Изоляционные работы;11;3,429
43299;Прочие строительные и монтажные работы, не включенные в другие категории;11;3,429
43320;Плотницкие работы;11;3,429
43340;Малярные и стекольные работы;11;3,429
43900;Прочие специализированные строительные работы;11;3,429
43910;Кровельные работы;11;3,429
01410;Разведение молочных пород крупного рогатого скота;12;3,714
01420;Разведение других пород крупного рогатого скота и буйволов;12;3,714
01430;Разведение лошадей и других копытных пород;12;3,714
01431;Разведение лошадей;12;3,714
01432;Разведение ослов, мулов и других копытных пород;12;3,714
01440;Разведение верблюдов и верблюдообразных;12;3,714
01450;Разведение овец и коз;12;3,714
01451;Разведение овец каракульской породы;12;3,714
01452;Разведение овец, не относящихся к каракульской породе;12;3,714
01453;Разведение коз;12;3,714
01460;Разведение свиней и поросят;12;3,714
01490;Разведение других видов животных;12;3,714
01491;Разведение тутового шелкопряда;12;3,714
01492;Разведение пчёл;12;3,714
01493;Разведение кроликов и других мелких животных;12;3,714
01499;Разведение животных, не включённых в другие категории;12;3,714
01500;Смешанное сельское хозяйство;12;3,714
01600;Вспомогательные виды деятельности в сельском хозяйстве;12;3,714
01610;Вспомогательные виды деятельности в растениеводстве;12;3,714
01611;Обеспечение сельхозтехники операторами и техническим персоналом;12;3,714
01612;Защита растений от болезней, вредителей и грызунов;12;3,714
01620;Вспомогательные виды деятельности в животноводстве;12;3,714
01630;Сельскохозяйственная деятельность после уборки урожая;12;3,714
23320;Производство кирпича, черепицы и изделий из обожжённой глины, не включённых в другие категории;12;3,714
23520;Производство извести и гипса для строительства;12;3,714
23600;Производство изделий из бетона, гипса и цемента;12;3,714
23610;Производство бетонных изделий для строительства;12;3,714
23620;Производство гипсовых изделий для строительных целей;12;3,714
23700;Резка, обработка и отделка камня;12;3,714
25620;Основные технологические процессы машиностроения;12;3,714
26500;"Производство измерительных, испытательных и навигационных приборов; производство часов всех видов";12;3,714
26510;Производство приборов для измерения, контроля, испытаний и навигации;12;3,714
26700;Производство оптических приборов и фототехники;12;3,714
27000;Производство электрического оборудования;12;3,714
27100;Производство электрических двигателей, генераторов, трансформаторов и распределительных и управляющих устройств;12;3,714
27110;Производство электрических двигателей, генераторов и трансформаторов;12;3,714
27120;Производство распределительных и управляющих электрических устройств;12;3,714
27200;Производство батарей и аккумуляторов;12;3,714
27300;Производство электрических проводов и кабелей;12;3,714
27310;Производство оптических волоконных кабелей;12;3,714
27320;Производство других видов электрических проводов и кабелей;12;3,714
27330;Производство электрических приборов;12;3,714
27400;Производство электрических осветительных приборов;12;3,714
28120;Производство гидравлического и пневматического оборудования;12;3,714
28130;Производство других насосов и компрессоров;12;3,714
28140;Производство других кранов и вентилей;12;3,714
28930;Производство оборудования для пищевой промышленности, напитков и табачных изделий;12;3,714
28950;Производство машин и оборудования для изготовления бумаги и картона;12;3,714
28960;Производство оборудования для переработки пластмасс и резины;12;3,714
01000;Земледелие и животноводство, охота и услуги в этих сферах;13;4,0
01100;Выращивание сезонных культур;13;4,0
01110;Выращивание семян зерновых (кроме риса), бобовых и масличных культур;13;4,0
01111;Выращивание зерновых культур (кроме риса);13;4,0
01112;Выращивание бобовых культур;13;4,0
01113;Выращивание масличных культур и их семян;13;4,0
01120;Выращивание риса;13;4,0
01130;Выращивание овощей, бахчевых и корнеплодных культур;13;4,0
01131;Выращивание овощей;13;4,0
01132;Выращивание бахчевых культур;13;4,0
01133;Выращивание корнеплодных культур, богатых крахмалом и инулином, и их семян;13;4,0
01139;Выращивание других корнеплодных культур, их семян, грибов и трюфелей;13;4,0
01140;Выращивание сахарного тростника;13;4,0
01150;Выращивание табака;13;4,0
01160;Выращивание волокнистых технических культур;13;4,0
01161;Выращивание хлопка;13;4,0
01162;Выращивание льна;13;4,0
01169;Выращивание других волокнистых (технических) культур;13;4,0
01190;Выращивание других сезонных культур;13;4,0
01191;Выращивание кормовых культур и их семян;13;4,0
01192;Выращивание цветов и их семян;13;4,0
01199;Выращивание других однолетних культур, не включённых в другие категории;13;4,0
01200;Выращивание многолетних культур;13;4,0
01210;Выращивание винограда;13;4,0
01220;Выращивание тропических и субтропических фруктов;13;4,0
01230;Выращивание цитрусовых;13;4,0
01240;Выращивание косточковых и семечковых фруктов;13;4,0
01250;Выращивание других видов плодовых деревьев, кустарников и орехов;13;4,0
01260;Выращивание масличных плодов;13;4,0
01270;Выращивание культур для производства напитков;13;4,0
01280;Выращивание пряностей, ароматических, сильнодействующих наркотических и фармацевтических растений;13;4,0
01290;Выращивание других многолетних культур;13;4,0
01300;Производство саженцев;13;4,0
01400;Животноводство;13;4,0
01640;Обработка семян и подготовка к посеву;13;4,0
02400;Техническое обслуживание в сфере лесного хозяйства;13;4,0
16000;Производство изделий из древесины и пробки (кроме мебели), изделий из лыка и плетеных материалов;13;4,0
16100;Доска и шлифовка древесины;13;4,0
16200;Производство шпона, фанеры, плит и панелей из древесины;13;4,0
16210;Производство паркетных покрытий;13;4,0
16220;Производство других деревянных строительных конструкций и столярных изделий;13;4,0
16230;Производство деревянной посуды;13;4,0
16240;"Производство других изделий из древесины; изделий из пробки, лыка и плетеных материалов";13;4,0
16290;Производство изделий из резины и пластмассы;13;4,0
22000;Производство изделий из резины;13;4,0
22100;"Производство резиновых покрышек и камер; восстановление резиновых покрышек";13;4,0
22110;Производство резиновых шин, покрышек и камер;13;4,0
22111;Восстановление резиновых шин и покрышек;13;4,0
22112;Производство других изделий из резины;13;4,0
22190;Производство стекла и изделий из стекла;13;4,0
23100;Производство листового стекла;13;4,0
23110;Формовка и обработка листового стекла;13;4,0
23120;Производство полых стеклянных изделий;13;4,0
23130;Производство стекловолокна;13;4,0
23140;Производство других стеклянных изделий, включая технические изделия, и их обработка;13;4,0
23190;Производство огнеупорных изделий;13;4,0
23200;Производство керамических изоляционных материалов и прокладок;13;4,0
23430;Производство цемента, извести и штукатурных изделий;13;4,0
23500;Производство цемента;13;4,0
23510;Производство волокнистого цемента;13;4,0
23650;Производство изделий из бетона, строительного гипса и цемента;13;4,0
23690;Металлургическая промышленность;13;4,0
24000;Производство чугуна, стали и железных сплавов;13;4,0
24100;Производство стальных труб, трубопроводов, профилей, фитингов;13;4,0
24200;Выращивание других видов плодовых деревьев, кустарников и орехов;13;4,0
24300;Производство других изделий из стали путем первичной обработки;13;4,0
25000;Производство готовых металлических изделий, кроме машин и оборудования;13;4,0
25100;Производство металлических строительных конструкций и изделий;13;4,0
25110;Производство металлических строительных конструкций и изделий (повтор);13;4,0
25200;Производство металлических цистерн, резервуаров и контейнеров;13;4,0
28000;Производство машин и оборудования, не отнесенных к другим категориям;13;4,0
28100;Производство машин и оборудования общего назначения;13;4,0
28110;Производство двигателей и турбин, кроме авиационных, а также двигателей для автомобилей и мотоциклов;13;4,0
28150;Производство подшипников, зубчатых колес, зубчатых передач и элементов приводов;13;4,0
28200;Производство других машин и оборудования общего назначения;13;4,0
29000;Производство автотранспортных средств, прицепов и полуприцепов;13;4,0
29300;Производство комплектующих и аксессуаров для автотранспортных средств;13;4,0
29320;Производство прочих комплектующих и аксессуаров для автотранспортных средств;13;4,0
30200;Производство железнодорожных локомотивов и подвижного состава;13;4,0
30300;Производство воздушных и космических летательных аппаратов;13;4,0
30900;Производство транспортного оборудования, не включенного в другие категории;13;4,0
31000;Производство мебели;13;4,0
31010;Производство офисной и магазинной мебели;13;4,0
31020;Производство кухонной мебели;13;4,0
31030;Производство матрасов;13;4,0
31090;Производство прочей мебели;13;4,0
32300;Производство спортивных товаров;13;4,0
32500;Производство медицинских и стоматологических инструментов и оборудования;13;4,0
33190;Ремонт прочего оборудования;13;4,0
01700;Охота и отлов диких животных, услуги в этих областях;14;4,286
07000;Добыча металлических руд;14;4,286
07100;Добыча железной руды;14;4,286
07200;Добыча цветных металлических руд;14;4,286
07210;Добыча урановых и ториевых руд;14;4,286
13000;Производство текстильных изделий;14;4,286
13100;Подготовка и прядение текстильных волокон;14;4,286
13102;Подготовка и прядение шерстяных волокон;14;4,286
13103;Подготовка и прядение шелковых волокон;14;4,286
13200;Текстильное производство;14;4,286
13202;Производство шерстяных тканей;14;4,286
13203;Производство шелковых тканей;14;4,286
13209;Производство прочих тканей;14;4,286
13300;Украшение текстильных изделий;14;4,286
13900;Производство прочих текстильных изделий;14;4,286
13910;Производство тканых и трикотажных полотен;14;4,286
13920;Производство готовых текстильных изделий, кроме одежды;14;4,286
13930;Производство ковров и ковровых изделий;14;4,286
13950;Производство нетканых изделий, кроме одежды;14;4,286
13960;Производство прочих технических и промышленных текстильных изделий;14;4,286
13990;Производство текстильных изделий, не включенных в другие категории;14;4,286
14200;Производство швейных изделий;14;4,286
24310;Холодная вытяжка;14;4,286
24320;Холодная прокатка лент и узких полос;14;4,286
24330;Холодное формование и фальцовка;14;4,286
24340;Производство проволоки путем холодного растяжения и натяжения;14;4,286
24420;Производство алюминия;14;4,286
24430;Производство свинца, цинка, олова;14;4,286
24440;Производство меди;14;4,286
24450;Производство прочих цветных металлов;14;4,286
24460;Производство ядерных топлив;14;4,286
24500;Литьё металлов;14;4,286
24510;Литьё чугуна;14;4,286
24520;Литьё стали;14;4,286
24530;Литьё лёгких металлов;14;4,286
24540;Литьё прочих цветных металлов;14;4,286
25210;Производство радиаторов и котлов центрального отопления;14;4,286
25400;Производство оружия и боеприпасов;14;4,286
25500;"Молотковая обработка листового металла, штамповка, формовка, профилирование на роликовых станках; порошковая металлургия";14;4,286
25600;"Обработка металлов и нанесение покрытий; основные технологические процессы машиностроения";14;4,286
25610;Обработка металлов и нанесение покрытий;14;4,286
27500;Производство бытовых приборов;14;4,286
27510;Производство бытовых электроприборов;14;4,286
27520;Производство бытовых неэлектрических приборов;14;4,286
27900;Производство прочих электрических приборов;14;4,286
28210;Производство плит, печей и горелок для печей;14;4,286
28220;Производство подъемно-транспортного оборудования;14;4,286
28230;Производство офисной техники и оборудования (кроме компьютеров и периферийных устройств);14;4,286
28250;Производство промышленного холодильного и вентиляционного оборудования;14;4,286
28290;Производство универсальных машин и оборудования, не включенных в другие категории;14;4,286
28400;Производство оборудования и механических устройств для обработки металлов под давлением;14;4,286
28410;Производство оборудования для обработки металлов под давлением;14;4,286
28900;Производство другой техники специального назначения;14;4,286
28990;Производство другой техники специального назначения, не включенной в другие категории;14;4,286
30400;Производство военной боевой техники;14;4,286
33170;Ремонт и техническое обслуживание других видов транспортного оборудования;14;4,286
33171;Ремонт и техническое обслуживание железнодорожных локомотивов и подвижного состава, включая трамваи, вагоны метро и троллейбусы;14;4,286
33200;Монтаж (сборка) промышленной техники и оборудования;14;4,286
08000;Деятельность, связанная с горнодобывающей промышленностью;15;4,571
08100;Обработка открытых каменных, грунтовых и песчаных карьеров;15;4,571
08110;Добыча камня, известняка, гипса, буры и сланцев для строительства и отделки;15;4,571
08121;Добыча глины и каолина;15;4,571
08122;Обогащение каолина и других каолиновых глин, а также первичная переработка;15;4,571
08129;Разработка прочих карьерных месторождений, не включенных в другие категории;15;4,571
13201;Производство пряжи;15;4,571
08900;Деятельность, связанная с горнодобывающей промышленностью и разработкой открытых шахт, не включенная в другие категории;16;4,857
08910;Добыча минерального сырья для химической промышленности и производства удобрений;16;4,857
13109;Подготовка и прядение других волокон;16;4,857
13940;Производство канатов, тросов, веревок, шпагатов и плетение сетей;16;4,857
28920;Производство техники для горнодобывающей промышленности и подземных шахт;16;4,857
23400;Производство других изделий из фаянса и керамики;17;5,143
23410;Производство бытовых и декоративных керамических изделий;17;5,143
23490;Производство других керамических изделий;17;5,143
24400;Производство основных драгоценных и цветных металлов;17;5,143
24410;Производство благородных (драгоценных) металлов;17;5,143
25300;Производство паровых котлов, кроме центральных отопительных котлов;17;5,143
28240;Производство ручных электрических инструментов;17;5,143
28490;Производство других устройств для обработки металлов;17;5,143
08920;Добыча торфа;18;5,714
09000;Техническое обслуживание в горнодобывающей промышленности;18;5,714
09100;Техническое обслуживание в сфере добычи нефти и природного газа;18;5,714
09900;Техническая помощь в других областях горной промышленности и при подземных работах;18;5,714
28910;Производство машин и оборудования для металлургии;18;5,714
08120;Разработка открытых карьеров гравия и песка, добыча почвы и каолина;19;6,0
08990;Прочая деятельность, связанная с горной промышленностью, не включенная в другие категории;19;6,0
13101;Подготовка и прядение хлопковых волокон;19;6,0
23990;Производство неметаллических минеральных продуктов, не включенных в другие категории;19;6,0
42120;Строительство железных дорог и линий метро;19;6,0
42130;Строительство мостов и тоннелей;19;6,0
43990;Прочие специализированные строительные работы, не включенные в другие категории;19;6,0
05000;Добыча угля и лигнита;20;7,714
05100;Добыча каменного угля;20;7,714
05200;Добыча лигнита;20;7,714
07290;Добыча руд цветных металлов, не включенных в другие категории;20;7,714
